name,year,city,Country,cuisine
Amador,2020,Wien,Austria,Creative
Geranium,2020,København,Denmark,Creative
The Eight,2020,Macau,Macau,Chinese
Robuchon au Dôme,2020,Macau,Macau,French contemporary
Jade Dragon,2020,Macau,Macau,Cantonese
Maaemo,2020,Oslo,Norway,Modern cuisine
Frantzén,2020,Stockholm,Sweden,Modern cuisine
Le Palais,2020,Taipei,Taipei,Cantonese
