,Country,no_of_stars,name,city
0,Luxembourg,1,Guillou Campagne,"17 rue de la Résistance, 4996 Schouweiler"
1,Luxembourg,1,Fani,"51 Grand Rue, 3394 Roeser"
2,Luxembourg,1,Mosconi,"13 rue Münster, 2160 Luxembourg"
3,Luxembourg,1,La Cristallerie,"18 place d'Armes, 1136 Luxembourg"
4,Luxembourg,1,Les Jardins d'Anaïs,"2 place Sainte Cunégonde, 1367 Luxembourg"
5,Luxembourg,1,Clairefontaine,"9 place de Clairefontaine, 1341 Luxembourg"
6,Luxembourg,1,La Distillerie,"8 rue du Château, 6162 Bourglinster"
7,Luxembourg,1,Lea Linster,"17 route de Luxembourg, 5752 Frisange"
8,Luxembourg,2,Ma Langue Sourit,"1 rue Remich, 5331 Oetrange"
